"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.19002018973398e-06,0.65142598046336,0.646,0.478,0.162203856348805,"8","MIS18BP1"
9.32407453147426e-06,0.597786307324781,0.708,0.492,0.164569915480521,"8","YY1AP1"
9.32915954866047e-06,0.663450077073648,0.592,0.388,0.164659666033857,"8","SNX27"
9.32936619821744e-06,0.508514869711845,0.869,0.677,0.164663313398538,"8","DNM2"
9.36577653285629e-06,1.34877884850707,0.508,0.315,0.165305955804913,"8","MEGF9"
9.74959560726721e-06,0.649162918281834,0.585,0.378,0.172080362468266,"8","AAGAB"
9.81605923711836e-06,0.676374315533769,0.5,0.312,0.173253445535139,"8","LPCAT3"
9.95821748240456e-06,0.681463929068377,0.362,0.183,0.175762538564441,"8","SLFN11"
9.98535847159329e-06,0.857001221750336,0.385,0.225,0.176241577023622,"8","LMNA"
1.00401994248677e-05,0.90975647025774,0.562,0.378,0.177209519848916,"8","CREBL2"
1.01972081507897e-05,1.09031683956323,0.315,0.165,0.179980723861439,"8","ERMAP"
1.02581232864248e-05,0.624311627566812,0.585,0.371,0.181055876005398,"8","PGGT1B"
1.02823230408716e-05,0.77438326200529,0.438,0.26,0.181483001671383,"8","BCAR3"
1.03271837377959e-05,0.461688337586313,0.815,0.618,0.182274792972098,"8","XRN2"
1.04106300374129e-05,0.791880240731029,0.669,0.455,0.183747620160337,"8","OXSR1"
1.04445336150843e-05,0.738525593678202,0.477,0.292,0.184346018306238,"8","SLC2A13"
1.09779835808717e-05,0.469270036808171,0.692,0.499,0.193761410202385,"8","KLHL2"
1.10795366851552e-05,1.13427695523322,0.446,0.294,0.19555382249299,"8","TLE3"
1.11748340098895e-05,0.778919368790814,0.477,0.281,0.19723582027455,"8","SIN3B"
1.19813288060377e-05,0.601046787411572,0.7,0.51,0.211470453426566,"8","DNM1L"
1.20261054252972e-05,1.00205999463331,0.285,0.14,0.212260760756496,"8","NAPRT"
1.20731715933031e-05,0.617357854612696,0.677,0.482,0.2130914786218,"8","GAK"
1.2162446897248e-05,0.573991784412653,0.792,0.645,0.214667187736427,"8","HTT"
1.22049918884997e-05,1.15025368722653,0.354,0.192,0.215418106832019,"8","TBC1D7"
1.26111251833844e-05,0.730665115747457,0.862,0.689,0.222586359486734,"8","DICER1"
1.26623448486665e-05,0.522423829875579,0.754,0.611,0.223490386578964,"8","SLC39A11"
1.33813819806174e-05,0.92304609899127,0.385,0.221,0.236181391957897,"8","KIAA1958"
1.35249123926392e-05,0.586429405373662,0.7,0.504,0.238714703730082,"8","PSMD1"
1.36283353753666e-05,0.82487899281552,0.615,0.423,0.24054011937522,"8","KLF7"
1.40121462455481e-05,1.25174546431207,0.354,0.198,0.247314381233924,"8","DOT1L"
1.41327027771718e-05,0.555037395068642,0.577,0.342,0.249442204017083,"8","MARS"
1.43555373236108e-05,0.500160732756646,0.446,0.253,0.25337523376173,"8","DPYSL2"
1.44516969826043e-05,0.444259507890301,0.946,0.88,0.255072451742965,"8","CELF1"
1.45682354491201e-05,1.97031842958902,0.631,0.533,0.257129355676969,"8","ATP13A3"
1.47480996930484e-05,0.749974580149657,0.638,0.459,0.260303959582304,"8","DTNBP1"
1.48177668850724e-05,0.807291460493381,0.546,0.343,0.261533585521527,"8","XAF1"
1.51118666387774e-05,1.10120384036655,0.285,0.149,0.266724446174421,"8","AP002884.5"
1.52866914217734e-05,0.720903004399071,0.377,0.209,0.269810103594301,"8","OPA3"
1.54349533344582e-05,0.612451756904055,0.615,0.415,0.272426926353188,"8","TBK1"
1.5526276288756e-05,0.632453305543929,0.885,0.802,0.274038776496544,"8","AFF1"
1.61250129036648e-05,0.504438379254312,0.754,0.528,0.284606477749684,"8","MAP4K3"
1.65143819245457e-05,0.614979185880969,0.723,0.552,0.291478840968232,"8","SNX1"
1.7244228368788e-05,0.432508767947608,0.946,0.877,0.304360630709108,"8","FBXO11"
1.73584159053765e-05,0.529441795212159,0.785,0.631,0.306376040729896,"8","PPA2"
1.74924040084014e-05,0.680881805298053,0.769,0.681,0.308740930748284,"8","C6orf62"
1.78379488751313e-05,0.88343751112199,0.346,0.189,0.314839797646068,"8","STARD3NL"
1.86744609683231e-05,0.597253954064553,0.723,0.523,0.329604236090903,"8","SLC23A2"
1.90610805727111e-05,0.681080002432851,0.569,0.349,0.336428072108352,"8","NPIPB13"
1.95542125603193e-05,0.276840961817242,0.585,0.376,0.345131851689636,"8","TCF7L2"
1.9675618947798e-05,0.662965909874544,0.615,0.429,0.347274674428635,"8","ARFIP1"
